0,000000,0
1,000001,1
2,000010,2
3,000011,3
4,000100,4
5,000101,5
6,000110,6
7,000111,7
8,001000,8
9,001001,9
10,001010,A
11,001011,B
12,001100,C
13,001101,D
14,001110,E
15,001111,F
16,010000,10
17,010001,11
18,010010,12
19,010011,13
20,010100,14
21,010101,15
22,010110,16
23,010111,17
24,011000,18
25,011001,19
26,011010,1A
27,011011,1B
28,011100,1C
29,011101,1D
30,011110,1E
31,011111,1F
32,100000,20
33,100001,21
34,100010,22
35,100011,23
36,100100,24
37,100101,25
38,100110,26
39,100111,27
40,101000,28
41,101001,29
42,101010,2A
43,101011,2B
44,101100,2C
45,101101,2D
46,101110,2E
47,101111,2F
48,110000,30
49,110001,31
50,110010,32
51,110011,33
52,110100,34
53,110101,35
54,110110,36
55,110111,37
56,111000,38
57,111001,39
58,111010,3A
59,111011,3B
60,111100,3C
61,111101,3D
62,111110,3E
63,111111,3F
